"ID";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"centre_chrono";"intervalle_personnalise";"groupe_cah";"diversite"
"99";"NIMJJ_SP1004";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;1;0;0;0;0;1;0;0;0;0;162;"non";"indéterminé";"adulte";75;170;122,5;"100 - 300";"1";3
"100";"NIMJJ_SP1055";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;1;0;0;0;0;54;"non";"indéterminé";"adulte";90;125;107,5;"100 - 300";"1";3
"101";"NIMJJ_SP1062";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"bébé";1;200;100,5;"100 - 300";"1";1
"102";"NIMJJ_SP1067";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"enfant";1;200;100,5;"100 - 300";"1";0
"103";"NIMJJ_SP1081";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;9;"non";"indéterminé";"bébé";130;170;150;"100 - 300";"1";2
"104";"NIMJJ_SP1113";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;1;0;0;0;0;1;1;0;0;0;25;"non";"masculin";"adulte";25;75;50;"1 - 100";"1";3
"105";"NIMJJ_SP1154";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";1
"106";"NIMJJ_SP1157";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";1;200;100,5;"100 - 300";"1";1
"107";"NIMJJ_SP1180";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;25;"non";"indéterminé";"enfant";50;100;75;"1 - 100";"1";2
"108";"NIMJJ_SP1185";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;1;0;0;0;0;1;0;0;0;0;6;"non";"masculin";"adulte";50;170;110;"100 - 300";"1";3
"109";"NIMJJ_SP1197";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;"non";"indéterminé";"enfant";70;170;120;"100 - 300";"1";0
"110";"NIMJJ_SP1205";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;1;0;0;0;0;24;"non";"indéterminé";"adulte";125;170;147,5;"100 - 300";"1";3
"111";"NIMJJ_SP1223";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;1;0;0;0;0;0;0;0;1;0;0;0;0;7;"non";"indéterminé";"adulte";125;175;150;"100 - 300";"1";2
"112";"NIMJJ_SP1226";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;1;0;0;0;0;11;"non";"indéterminé";"indéterminé";75;150;112,5;"100 - 300";"1";1
"113";"NIMJJ_SP1270";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"enfant";130;170;150;"100 - 300";"1";1
"114";"NIMJJ_SP1292";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"enfant";50;170;110;"100 - 300";"1";1
"115";"NIMJJ_SP1294";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;1;0;0;0;0;16;"non";"féminin";"adulte";70;170;120;"100 - 300";"1";2
"116";"NIMJJ_SP1295";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;"non";"indéterminé";"adulte";140;170;155;"100 - 300";"1";1
"117";"NIMJJ_SP1296";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;"non";"indéterminé";"adulte";130;170;150;"100 - 300";"1";2
"118";"NIMJJ_SP1320";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;"non";"indéterminé";"enfant";70;170;120;"100 - 300";"1";1
"119";"NIMJJ_SP1324";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;"non";"indéterminé";"adulte";70;170;120;"100 - 300";"1";1
"120";"NIMJJ_SP1332";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;"non";"indéterminé";"adulte";50;130;90;"1 - 100";"1";1
"121";"NIMJJ_SP1345";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;1;0;0;1;0;1;0;0;0;0;18;"non";"indéterminé";"adulte";50;100;75;"1 - 100";"1";4
