ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument de toilette;miroir;vaisselle métallique;vaisselle en verre;matériaux précieux;char;lit funéraire;instrument écriture;quantité objet;tombe_multiple;sexe defunt;classe age defunt;date_debut;date_fin
151;AVEC_Structure 323;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;non;masculin ?;adulte;100;200
152;AVEC_Structure 327;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte mature;150;230
153;AVEC_Structure 328;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin ?;adulte;100;150
154;AVEC_Structure 334;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;150;230
155;AVEC_Structure 335;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;masculin;adulte;150;230
156;AVEC_Structure 336;AVEC;Germanie;Gaule du centre-est;0;1;1;0;2;0;0;0;0;0;0;0;0;0;9;non;féminin ?;adulte;150;230
157;AVEC_Structure 339;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;non;féminin;adulte;150;230
158;AVEC_Structure 340;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;130;160
159;AVEC_Structure 342;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;1;0;3;0;0;0;0;7;non;féminin;adulte;130;160
160;AVEC_Structure 343;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin;adulte;150;230
161;AVEC_Structure 346;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;féminin ?;juvenis;0;0
162;AVEC_Structure 347;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;masculin;adulte;140;250
163;AVEC_Structure 348;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;150;230
164;AVEC_Structure 35/100;AVEC;Germanie;Gaule du centre-est;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;non;masculin ?;juvenis;140;250
165;AVEC_Structure 353;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;non;féminin;adulte;120;250
