ID;site_abbreviation;fonction_nom;obj_nom;nouvelle_categorie;obj_nmi;materiau_nom;depot_nom;obj_remarque;typeSep_nom;defunt_genre;defunt_age;defunt_classe_age;phase_date_debut;phase_date_fin;province_nom;us_nom;obj_typologie;obj_longueur;obj_hauteur
1008;STL;indéterminé;plaque;indéterminé;0;plomb;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T153;;;
1009;STL;indéterminé;plaque;indéterminé;0;plomb;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T153B;;act. 37;
1010;STL;indéterminé;objet indéterminé;indéterminé;0;plomb;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T166;;act. 43;
1011;STL;parure, vêtement;clou de chaussure;clou de chaussure;2;fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation primaire indéterminée;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T167;;;
1012;STL;parure, vêtement;clou de chaussure;clou de chaussure;8;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T182;;;
1013;STL;parure, vêtement;clou de chaussure;clou de chaussure;2;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;41;68;Gaule Narbonnaise;T185;;;
1014;STL;ameublement;anse de coffret;ameublement;1;alliage cuivreux;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;41;68;Gaule Narbonnaise;T185;;57;
1015;STL;parure, vêtement;clou de chaussure;clou de chaussure;1;fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;;;
1016;STL;ameublement;plaque de serrure de coffret;ameublement;1;alliage cuivreux, fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;;act. 32;
1017;STL;ameublement;anneau;parure annulaire bague et anneau;1;alliage cuivreux;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;;act. 15;
